zipcode,2011,2012,2013,2014,2015
32303,121150.0,114891.66666700001,113858.33333299999,116066.66666700001,119058.33333299999
32309,203316.666667,197500.0,205466.666667,213908.333333,217733.333333
32312,232175.0,228283.333333,231716.666667,240366.666667,247666.666667
32401,86333.333333,78533.333333,78891.666667,87000.0,92516.666667
32408,167458.333333,175700.0,184125.0,191991.666667,197075.0
32503,111108.33333299999,112950.0,118558.33333299999,121783.33333299999,125700.0
32505,51933.333332999995,49800.0,50450.0,54683.333333,55866.666667
32526,98366.666667,96358.333333,102308.333333,108466.66666700001,111841.66666700001
32539,118425.0,118591.66666700001,114450.0,121516.66666700001,126833.33333299999
32570,107333.333333,103816.666667,106933.333333,114600.0,119041.66666700001
32701,89083.333333,85733.333333,100475.0,117675.0,125566.66666700001
32724,96291.666667,95525.0,104966.666667,121716.66666700001,132591.666667
32746,211066.666667,216675.0,240775.0,258616.666667,262191.666667
32751,187808.333333,185308.333333,216783.333333,233216.666667,239891.666667
32789,239275.0,254175.0,301000.0,317525.0,333558.333333
32801,151033.333333,177766.666667,211258.333333,232183.333333,239441.666667
32809,69425.0,71008.333333,88308.333333,105200.0,115241.66666700001
32822,68633.333333,69250.0,85908.333333,100358.333333,109833.33333299999
32826,120416.66666700001,116266.66666700001,131733.333333,151850.0,158850.0
32837,135500.0,145658.333333,166358.333333,188166.666667,201283.333333
32927,87141.666667,85425.0,93175.0,107933.33333299999,121175.0
33012,96750.0,97358.333333,114291.66666700001,136708.333333,157050.0
33015,121766.66666700001,124175.0,141258.333333,167991.666667,189466.666667
33054,68308.333333,70375.0,79983.333333,93383.333333,106850.0
33055,90850.0,90208.333333,104750.0,126425.0,153483.333333
33062,224958.333333,234341.666667,252633.333333,292175.0,305458.333333
33064,80516.666667,84383.333333,103383.333333,126425.0,137575.0
33067,304716.666667,313816.666667,340050.0,377750.0,390600.0
33068,85108.333333,91608.333333,106358.333333,129725.0,140241.666667
33071,238450.0,246916.666667,277108.333333,315575.0,326383.333333
33073,209958.333333,219933.333333,243483.333333,280100.0,295516.666667
33076,340183.333333,354525.0,382441.666667,425141.666667,437741.666667
33126,88558.333333,90175.0,113475.0,142500.0,156291.666667
33127,70375.0,68583.333333,84375.0,89891.666667,104925.0
33131,293900.0,335541.666667,397725.0,439750.0,438575.0
33132,256325.0,300808.333333,365375.0,395991.666667,393008.333333
33134,306466.666667,333150.0,382250.0,422333.333333,440675.0
33135,138083.333333,130483.33333299999,138750.0,182416.666667,203983.333333
33142,64658.333333,63991.666667,72708.333333,86100.0,97758.333333
33146,587208.333333,636200.0,721783.333333,771833.333333,857383.333333
33157,140375.0,145108.333333,164816.666667,196350.0,225083.333333
33160,205441.666667,227225.0,274858.333333,309858.333333,331766.666667
33169,104450.0,107708.33333299999,115491.66666700001,134875.0,153375.0
33179,80408.333333,80216.666667,94175.0,121250.0,124000.0
33185,218175.0,225066.666667,253816.666667,288791.666667,312766.666667
33186,168116.666667,172241.666667,192808.333333,225000.0,245716.666667
33193,135441.666667,138975.0,158091.666667,184050.0,203791.666667
33317,164100.0,173583.333333,197558.333333,229200.0,245158.333333
33319,56166.666667,59175.0,69083.333333,81350.0,85883.333333
33326,186366.666667,191491.666667,221400.0,267433.333333,289558.333333
33331,328983.333333,341566.666667,375391.666667,414583.333333,424591.666667
33334,116116.66666700001,127933.33333299999,146816.666667,172083.333333,192725.0
33406,101708.333333,99033.333333,111725.0,132108.333333,149341.666667
33407,79391.666667,78250.0,90358.333333,106750.0,125641.66666700001
33408,208500.0,208216.666667,231966.666667,255300.0,281500.0
33410,206350.0,211766.666667,237783.333333,266708.333333,289408.333333
33411,144658.333333,148350.0,167008.333333,203516.666667,226725.0
33415,59483.333333,57000.0,63458.333333,78050.0,93125.0
33428,141766.666667,151358.333333,174966.666667,208358.333333,229058.333333
33430,81216.666667,78041.666667,88091.666667,96233.333333,97100.0
33431,226800.0,227125.0,262333.333333,293141.666667,315141.666667
33434,91666.666667,84883.333333,89616.666667,100216.666667,118133.33333299999
33436,147491.666667,144125.0,158691.666667,182825.0,201400.0
33442,64250.0,66566.666667,72308.333333,78758.333333,88466.666667
33487,269825.0,271533.333333,301241.666667,330683.333333,351816.666667
33496,272258.333333,273500.0,280975.0,308391.666667,327841.666667
33511,119633.33333299999,118841.66666700001,137408.333333,154941.666667,164466.666667
33569,145500.0,146158.333333,166375.0,183766.666667,193258.333333
33572,168708.333333,181941.666667,200383.333333,217158.333333,228691.666667
33584,104091.666667,101433.333333,120775.0,138025.0,145391.666667
33594,126216.66666700001,125425.0,142016.666667,160725.0,170500.0
33606,284541.666667,305558.333333,351516.666667,374033.333333,399425.0
33610,53875.0,54708.333333,65450.0,73700.0,78791.666667
33625,128266.66666700001,131750.0,147825.0,167066.666667,180933.333333
33635,152475.0,157058.333333,174900.0,198833.333333,220350.0
33647,188050.0,194141.666667,212325.0,229050.0,234366.666667
33715,222483.333333,231716.666667,244858.333333,257716.666667,276758.333333
33716,53700.0,56025.0,62291.666667,66250.0,82200.0
33763,69841.666667,68066.666667,70175.0,75675.0,83725.0
33771,87675.0,83383.333333,91266.666667,104608.333333,115275.0
33777,103141.666667,102841.666667,116416.66666700001,130891.66666700001,140050.0
33781,80658.333333,79608.333333,88075.0,102808.333333,116241.66666700001
33801,60991.666667,59425.0,64241.666667,72450.0,79141.666667
33884,118816.66666700001,116575.0,123625.0,141275.0,150141.666667
33912,180516.666667,191108.333333,208358.333333,236866.666667,254741.666667
33928,202141.666667,213808.333333,231308.333333,258925.0,286525.0
33991,113850.0,132233.333333,150141.666667,180658.333333,201883.333333
34103,448158.333333,458083.333333,499741.666667,559825.0,620233.333333
34242,433675.0,437966.666667,475233.333333,521108.333333,551883.333333
34465,65275.0,61200.0,64316.666667,66858.333333,73691.666667
34607,156433.333333,152700.0,162933.333333,178041.666667,182766.666667
34683,157483.333333,166091.666667,182041.666667,202458.333333,219450.0
34689,140225.0,139475.0,154291.666667,173433.333333,181241.666667
34715,108233.33333299999,111591.66666700001,131291.666667,157883.333333,171408.333333
34743,82441.666667,86550.0,107950.0,135391.666667,148900.0
34744,112408.33333299999,115408.33333299999,131908.333333,159283.333333,170966.666667
34758,79158.333333,84300.0,101066.666667,126741.66666700001,137308.333333
34761,134266.666667,131625.0,151591.666667,172250.0,185225.0
34953,97175.0,100400.0,115766.66666700001,131358.333333,152675.0
34957,176758.333333,174050.0,181741.666667,195300.0,213200.0
35173,194550.0,188416.666667,194216.666667,197758.333333,208000.0
35209,236316.666667,240041.666667,246841.666667,255566.666667,273925.0
35242,291491.666667,287875.0,290983.333333,302325.0,310850.0
35601,,,,,
35756,142808.333333,137033.333333,137858.333333,136525.0,142533.333333
35806,199091.666667,195391.666667,195475.0,195008.333333,199191.666667
36064,197016.666667,186066.666667,206666.666667,222408.333333,236391.666667
36108,53316.666667000005,51241.666667000005,53833.333333,54666.666667,55316.666667
