intensity,lat,lng
2,41.819962,-87.60598399999999
10,41.892289,-87.637271
1,41.603188,-86.27920999999999
2,41.694776,-87.703777
3,41.97428,-87.82713199999999
1,30.277466999999998,-81.582904
5,41.940293,-87.646857
3,41.991488000000004,-87.703986
1,30.487775,-81.667141
9,37.260498999999996,-122.04616499999999
1,41.985396,-77.23825
5,36.946256,-121.756479
1,47.053521999999994,-92.068754
1,32.3391,-86.401107
1,45.143861,-92.680398
9,40.153918,-74.974991
9,40.794895000000004,-73.070328
2,40.810067,-73.041404
2,41.819578,-124.06566699999999
14,40.883410999999995,-73.423556
19,40.814268,-73.362276
58,40.788403,-73.40739599999999
19,40.806740000000005,-73.17090300000001
1,37.785277,-97.464182
12,33.567351,-112.053591
1,35.886344,-90.656774
15,33.559421,-112.092875
1,38.797393,-94.445534
1,41.665141,-72.769832
5,33.62724,-112.048414
1,33.635109,-112.093768
3,33.736104,-112.029599
2,38.899171,-94.272385
13,33.679761,-112.092529
2,40.854177,-74.835349
4,33.57574,-112.00840900000001
4,33.594738,-112.10986100000001
1,35.705098,-82.63646700000001
1,43.095821,-79.040408
7,41.88303,-87.644101
1,30.368009000000004,-81.871196
2,43.099407,-78.951983
1,48.477635,-107.059858
1,30.216649,-81.828227
1,30.270482,-81.468756
1,41.689734,-69.972126
3,30.357756,-81.505829
1,30.481247999999997,-81.506157
25,47.610902,-122.336422
4,41.317029999999995,-72.927316
5,47.63714,-122.321891
2,41.278273999999996,-72.875249
6,41.723298,-86.328342
4,47.678255,-122.33815200000001
3,29.912267,-96.889573
13,47.601884000000005,-122.32945900000001
2,47.659861,-122.284977
4,47.544034,-122.349874
1,41.328039000000004,-72.97084
2,41.272573,-72.964967
11,47.667527,-122.377551
4,47.534862,-122.30579399999999
1,41.34944,-72.907149
6,47.631863,-122.34426699999999
1,41.293934,-72.932028
2,46.756745,-92.269437
1,46.842463,-92.221917
1,32.273588000000004,-86.214473
1,46.808688000000004,-92.070727
1,32.378728,-86.145011
1,39.92046,-75.41618199999999
1,36.299426000000004,-98.64049200000001
1,40.206218,-74.81844
1,40.730486,-73.213924
1,30.377234,-94.373937
12,40.789713,-73.539899
2,40.885566,-73.249901
1,41.870812,-123.86277
3,40.857817,-73.116844
10,40.724512,-73.516326
13,40.689009999999996,-73.373328
1,40.357318,-79.523907
14,40.668934,-73.458448
3,37.322856,-107.085622
2,42.474208000000004,-71.097665
1,41.593204,-124.045992
2,38.101708,-106.34589
1,38.075759999999995,-97.28905
3,42.206188,-71.00232
1,39.527281,-85.774394
2,42.009151,-72.847465
2,33.493971,-112.166926
6,33.62592,-112.002503
2,38.792472,-93.730884
1,28.165483000000002,-82.511234
2,33.492969,-112.20975700000001
15,33.42958,-112.01409699999999
1,40.447368,-75.82049599999999
3,33.471449,-112.194732
1,41.837561,-72.45904
3,33.486707,-112.268258
1,37.586366999999996,-85.94875400000001
1,33.905559000000004,-98.479935
2,39.601304,-107.30438799999999
2,33.852942,-98.54073000000001
1,30.358873,-81.419388
1,29.904947999999997,-96.482617
3,47.646967,-122.53456100000001
1,41.733701,-86.24146999999999
5,47.63281,-122.28851100000001
1,41.422964,-72.994187
8,47.685746,-122.281589
3,47.574245,-122.400222
1,47.687761,-122.38486999999999
2,47.540246,-122.26854499999999
6,47.638678999999996,-122.37094599999999
13,36.860941,-76.20490799999999
1,36.857302000000004,-76.265612
1,30.067062,-93.868581
1,39.75008,-83.77625
2,45.825928999999995,-110.898032
1,40.781218,-123.826383
2,40.682744,-73.446664
9,40.826582,-72.98405
4,40.939219,-73.01866600000001
3,42.191346,-84.297205
1,40.318382,-79.723736
5,35.322061,-80.739981
5,40.842949,-73.145216
4,40.923631,-73.339309
1,28.085906,-82.148114
5,33.406479,-112.025469
1,35.337313,-80.803472
1,27.977965,-82.095709
1,41.875857,-72.809376
9,33.38593,-112.110307
2,33.369197,-112.04351000000001
1,33.431905,-112.196998
1,27.846464,-82.28863
3,33.352957,-112.01908200000001
2,42.347476,-71.082035
1,41.83809,-72.577836
1,41.984442,-72.263453
5,33.312552000000004,-112.057185
1,45.578639,-93.592062
1,44.682387,-93.413588
1,45.088621,-93.721142
1,45.175548,-93.57553100000001
1,40.841691,-74.57833000000001
4,39.158172,-106.66856000000001
2,44.757298999999996,-93.36697099999999
2,44.753976,-93.514608
2,35.314207,-83.026128
1,30.29376,-81.517139
5,47.615192,-122.350581
7,55.54040500000001,-131.105347
1,47.611046,-122.29320700000001
3,47.716513,-122.295829
1,32.378491,-93.73066899999999
7,47.555647,-122.37959
417,33.745762,-118.20804199999999
1,32.595618,-93.859525
1,33.937999,-79.76229000000001
235,33.756289,-118.13063600000001
300,33.781686,-118.14836499999998
3,32.467911,-93.813872
592,33.864616999999996,-118.180567
287,33.805401,-118.187701
363,33.827740000000006,-118.17482
404,33.823943,-118.11133500000001
1,36.001185,-83.913706
1,35.914747999999996,-84.000169
3,36.069140000000004,-79.765159
1,39.750639,-84.68142399999999
1,39.878597,-84.686054
1,36.114921,-79.73703
1,28.665647999999997,-81.370302
1,36.000541999999996,-79.764677
1,39.899781,-84.32783
1,42.562408000000005,-72.19108
1,40.061871999999994,-75.402461
